[Mon 2018-03-19 03:30:04 PM] [client 115.187.48.201] Finished under Sheet- Books | Row Number : 0 | count of Excel Fields: 61 | Count of Insert: 61 | Status OK
[Mon 2018-03-19 03:54:48 PM] [client 115.187.48.201] Finished under Sheet- Books | Row Number : 0 | count of Excel Fields: 61 | Count of Insert: 61 | Status OK
[Mon 2018-03-19 04:04:25 PM] [client 115.187.48.201] Finished under Sheet- Books | Row Number : 0 | count of Excel Fields: 61 | Count of Insert: 61 | Status OK
[Mon 2018-03-19 04:13:00 PM] [client 115.187.48.201] Finished under Sheet- Books | Row Number : 0 | count of Excel Fields: 61 | Count of Insert: 61 | Status OK
[Mon 2018-03-19 05:08:25 PM] [client 115.187.48.201] Finished under Sheet- Books | Row Number : 0 | count of Excel Fields: 109 | Count of Insert: 109 | Status OK
[Mon 2018-03-19 05:17:51 PM] [client 115.187.48.201] Finished under Sheet- Books | Row Number : 0 | count of Excel Fields: 72 | Count of Insert: 72 | Status OK
[Mon 2018-03-19 05:18:39 PM] [client 115.187.48.201] Finished under Sheet- Books | Row Number : 1 | count of Excel Fields: 98 | Count of Insert: 98 | Status OK
[Mon 2018-03-19 05:33:05 PM] [client 115.187.48.201] Finished under Sheet- Books | Row Number : 0 | count of Excel Fields: 68 | Count of Insert: 68 | Status OK
[Mon 2018-03-19 05:33:15 PM] [client 115.187.48.201] Finished under Sheet- Books | Row Number : 1 | count of Excel Fields: 40 | Count of Insert: 40 | Status OK
[Mon 2018-03-19 05:34:59 PM] [client 115.187.48.201] Finished under Sheet- Books | Row Number : 0 | count of Excel Fields: 32 | Count of Insert: 32 | Status OK
[Mon 2018-03-19 05:35:07 PM] [client 115.187.48.201] Finished under Sheet- Books | Row Number : 1 | count of Excel Fields: 36 | Count of Insert: 36 | Status OK
[Mon 2018-03-19 05:35:16 PM] [client 115.187.48.201] Finished under Sheet- Books | Row Number : 2 | count of Excel Fields: 42 | Count of Insert: 42 | Status OK
[Mon 2018-03-19 05:49:42 PM] [client 115.187.48.201] Finished under Sheet- Books | Row Number : 0 | count of Excel Fields: 68 | Count of Insert: 68 | Status OK
[Mon 2018-03-19 05:56:05 PM] [client 115.187.48.201] Finished under Sheet- Books | Row Number : 0 | count of Excel Fields: 69 | Count of Insert: 69 | Status OK
[Mon 2018-03-19 06:39:56 PM] [client 115.187.48.201] Finished under Sheet- Books | Row Number : 0 | count of Excel Fields: 15 | Count of Insert: 15 | Status OK
[Mon 2018-03-19 06:39:58 PM] [client 115.187.48.201] Finished under Sheet- Books | Row Number : 1 | count of Excel Fields: 19 | Count of Insert: 19 | Status OK
[Mon 2018-03-19 06:40:00 PM] [client 115.187.48.201] Finished under Sheet- Books | Row Number : 2 | count of Excel Fields: 24 | Count of Insert: 24 | Status OK
[Mon 2018-03-19 06:40:02 PM] [client 115.187.48.201] Finished under Sheet- Books | Row Number : 3 | count of Excel Fields: 19 | Count of Insert: 19 | Status OK
