[Tue 2018-03-27 06:25:56 PM] [client 115.187.48.141] Finished under Sheet- Books | Row Number : 0 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Tue 2018-03-27 06:25:57 PM] [client 115.187.48.141] Finished under Sheet- Books | Row Number : 1 | count of Excel Fields: 0 | Count of Insert: 0 | Status OK
[Tue 2018-03-27 06:25:57 PM] [client 115.187.48.141] Finished under Sheet- Books | Row Number : 2 | count of Excel Fields: 0 | Count of Insert: 0 | Status OK
[Tue 2018-03-27 06:36:15 PM] [client 115.187.48.141] Finished under Sheet- Books | Row Number : 0 | count of Excel Fields: 21 | Count of Insert: 21 | Status OK
[Tue 2018-03-27 06:36:17 PM] [client 115.187.48.141] Finished under Sheet- Books | Row Number : 1 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Tue 2018-03-27 06:36:19 PM] [client 115.187.48.141] Finished under Sheet- Books | Row Number : 2 | count of Excel Fields: 20 | Count of Insert: 20 | Status OK
[Tue 2018-03-27 06:36:20 PM] [client 115.187.48.141] Finished under Sheet- Books | Row Number : 3 | count of Excel Fields: 21 | Count of Insert: 21 | Status OK
[Tue 2018-03-27 06:36:22 PM] [client 115.187.48.141] Finished under Sheet- Books | Row Number : 4 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Tue 2018-03-27 06:36:23 PM] [client 115.187.48.141] Finished under Sheet- Books | Row Number : 5 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Tue 2018-03-27 06:36:24 PM] [client 115.187.48.141] Finished under Sheet- Books | Row Number : 6 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Tue 2018-03-27 06:36:26 PM] [client 115.187.48.141] Finished under Sheet- Books | Row Number : 7 | count of Excel Fields: 21 | Count of Insert: 21 | Status OK
[Tue 2018-03-27 06:36:27 PM] [client 115.187.48.141] Finished under Sheet- Books | Row Number : 8 | count of Excel Fields: 16 | Count of Insert: 16 | Status OK
[Tue 2018-03-27 06:36:28 PM] [client 115.187.48.141] Finished under Sheet- Books | Row Number : 9 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Tue 2018-03-27 06:36:30 PM] [client 115.187.48.141] Finished under Sheet- Books | Row Number : 10 | count of Excel Fields: 15 | Count of Insert: 15 | Status OK
[Tue 2018-03-27 06:36:31 PM] [client 115.187.48.141] Finished under Sheet- Books | Row Number : 11 | count of Excel Fields: 14 | Count of Insert: 14 | Status OK
[Tue 2018-03-27 06:36:33 PM] [client 115.187.48.141] Finished under Sheet- Books | Row Number : 12 | count of Excel Fields: 15 | Count of Insert: 15 | Status OK
[Tue 2018-03-27 06:36:34 PM] [client 115.187.48.141] Finished under Sheet- Books | Row Number : 13 | count of Excel Fields: 14 | Count of Insert: 14 | Status OK
[Tue 2018-03-27 06:36:36 PM] [client 115.187.48.141] Finished under Sheet- Books | Row Number : 14 | count of Excel Fields: 21 | Count of Insert: 21 | Status OK
[Tue 2018-03-27 06:36:38 PM] [client 115.187.48.141] Finished under Sheet- Books | Row Number : 15 | count of Excel Fields: 15 | Count of Insert: 15 | Status OK
[Tue 2018-03-27 06:36:39 PM] [client 115.187.48.141] Finished under Sheet- Books | Row Number : 16 | count of Excel Fields: 18 | Count of Insert: 18 | Status OK
[Tue 2018-03-27 06:36:41 PM] [client 115.187.48.141] Finished under Sheet- Books | Row Number : 17 | count of Excel Fields: 15 | Count of Insert: 15 | Status OK
[Tue 2018-03-27 06:36:42 PM] [client 115.187.48.141] Finished under Sheet- Books | Row Number : 18 | count of Excel Fields: 18 | Count of Insert: 18 | Status OK
[Tue 2018-03-27 06:36:44 PM] [client 115.187.48.141] Finished under Sheet- Books | Row Number : 19 | count of Excel Fields: 15 | Count of Insert: 15 | Status OK
[Tue 2018-03-27 06:36:45 PM] [client 115.187.48.141] Finished under Sheet- Books | Row Number : 20 | count of Excel Fields: 18 | Count of Insert: 18 | Status OK
[Tue 2018-03-27 06:36:47 PM] [client 115.187.48.141] Finished under Sheet- Books | Row Number : 21 | count of Excel Fields: 21 | Count of Insert: 21 | Status OK
[Tue 2018-03-27 06:36:49 PM] [client 115.187.48.141] Finished under Sheet- Books | Row Number : 22 | count of Excel Fields: 17 | Count of Insert: 17 | Status OK
[Tue 2018-03-27 06:36:50 PM] [client 115.187.48.141] Finished under Sheet- Books | Row Number : 23 | count of Excel Fields: 15 | Count of Insert: 15 | Status OK
[Tue 2018-03-27 06:36:51 PM] [client 115.187.48.141] Finished under Sheet- Books | Row Number : 24 | count of Excel Fields: 15 | Count of Insert: 15 | Status OK
[Tue 2018-03-27 06:36:53 PM] [client 115.187.48.141] Finished under Sheet- Books | Row Number : 25 | count of Excel Fields: 14 | Count of Insert: 14 | Status OK
[Tue 2018-03-27 06:36:54 PM] [client 115.187.48.141] Finished under Sheet- Books | Row Number : 26 | count of Excel Fields: 15 | Count of Insert: 15 | Status OK
[Tue 2018-03-27 06:36:56 PM] [client 115.187.48.141] Finished under Sheet- Books | Row Number : 27 | count of Excel Fields: 15 | Count of Insert: 15 | Status OK
[Tue 2018-03-27 06:36:57 PM] [client 115.187.48.141] Finished under Sheet- Books | Row Number : 28 | count of Excel Fields: 16 | Count of Insert: 16 | Status OK
[Tue 2018-03-27 06:36:58 PM] [client 115.187.48.141] Finished under Sheet- Books | Row Number : 29 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Tue 2018-03-27 06:36:59 PM] [client 115.187.48.141] Finished under Sheet- Books | Row Number : 30 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Tue 2018-03-27 06:37:00 PM] [client 115.187.48.141] Finished under Sheet- Books | Row Number : 31 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Tue 2018-03-27 06:37:01 PM] [client 115.187.48.141] Finished under Sheet- Books | Row Number : 32 | count of Excel Fields: 14 | Count of Insert: 14 | Status OK
[Tue 2018-03-27 06:37:03 PM] [client 115.187.48.141] Finished under Sheet- Books | Row Number : 33 | count of Excel Fields: 19 | Count of Insert: 19 | Status OK
[Tue 2018-03-27 06:37:04 PM] [client 115.187.48.141] Finished under Sheet- Books | Row Number : 34 | count of Excel Fields: 15 | Count of Insert: 15 | Status OK
[Tue 2018-03-27 06:37:05 PM] [client 115.187.48.141] Finished under Sheet- Books | Row Number : 35 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Tue 2018-03-27 06:37:07 PM] [client 115.187.48.141] Finished under Sheet- Books | Row Number : 36 | count of Excel Fields: 17 | Count of Insert: 17 | Status OK
[Tue 2018-03-27 06:37:08 PM] [client 115.187.48.141] Finished under Sheet- Books | Row Number : 37 | count of Excel Fields: 15 | Count of Insert: 15 | Status OK
[Tue 2018-03-27 06:38:46 PM] [client 115.187.48.141] Finished under Sheet- Books | Row Number : 0 | count of Excel Fields: 15 | Count of Insert: 15 | Status OK
[Tue 2018-03-27 06:38:47 PM] [client 115.187.48.141] Finished under Sheet- Books | Row Number : 1 | count of Excel Fields: 14 | Count of Insert: 14 | Status OK
[Tue 2018-03-27 06:38:48 PM] [client 115.187.48.141] Finished under Sheet- Books | Row Number : 2 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Tue 2018-03-27 06:38:49 PM] [client 115.187.48.141] Finished under Sheet- Books | Row Number : 3 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Tue 2018-03-27 06:38:51 PM] [client 115.187.48.141] Finished under Sheet- Books | Row Number : 4 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Tue 2018-03-27 06:38:53 PM] [client 115.187.48.141] Finished under Sheet- Books | Row Number : 5 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Tue 2018-03-27 06:38:54 PM] [client 115.187.48.141] Finished under Sheet- Books | Row Number : 6 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Tue 2018-03-27 06:38:56 PM] [client 115.187.48.141] Finished under Sheet- Books | Row Number : 7 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Tue 2018-03-27 06:38:57 PM] [client 115.187.48.141] Finished under Sheet- Books | Row Number : 8 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Tue 2018-03-27 06:38:58 PM] [client 115.187.48.141] Finished under Sheet- Books | Row Number : 9 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Tue 2018-03-27 06:39:00 PM] [client 115.187.48.141] Finished under Sheet- Books | Row Number : 10 | count of Excel Fields: 16 | Count of Insert: 16 | Status OK
[Tue 2018-03-27 06:39:01 PM] [client 115.187.48.141] Finished under Sheet- Books | Row Number : 11 | count of Excel Fields: 14 | Count of Insert: 14 | Status OK
[Tue 2018-03-27 06:39:03 PM] [client 115.187.48.141] Finished under Sheet- Books | Row Number : 12 | count of Excel Fields: 15 | Count of Insert: 15 | Status OK
[Tue 2018-03-27 06:39:05 PM] [client 115.187.48.141] Finished under Sheet- Books | Row Number : 13 | count of Excel Fields: 18 | Count of Insert: 18 | Status OK
[Tue 2018-03-27 06:39:06 PM] [client 115.187.48.141] Finished under Sheet- Books | Row Number : 14 | count of Excel Fields: 14 | Count of Insert: 14 | Status OK
[Tue 2018-03-27 06:39:08 PM] [client 115.187.48.141] Finished under Sheet- Books | Row Number : 15 | count of Excel Fields: 15 | Count of Insert: 15 | Status OK
[Tue 2018-03-27 06:39:11 PM] [client 115.187.48.141] Finished under Sheet- Books | Row Number : 16 | count of Excel Fields: 21 | Count of Insert: 21 | Status OK
[Tue 2018-03-27 06:39:13 PM] [client 115.187.48.141] Finished under Sheet- Books | Row Number : 17 | count of Excel Fields: 14 | Count of Insert: 14 | Status OK
[Tue 2018-03-27 06:39:15 PM] [client 115.187.48.141] Finished under Sheet- Books | Row Number : 18 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Tue 2018-03-27 06:39:16 PM] [client 115.187.48.141] Finished under Sheet- Books | Row Number : 19 | count of Excel Fields: 15 | Count of Insert: 15 | Status OK
[Tue 2018-03-27 06:39:18 PM] [client 115.187.48.141] Finished under Sheet- Books | Row Number : 20 | count of Excel Fields: 15 | Count of Insert: 15 | Status OK
[Tue 2018-03-27 06:39:20 PM] [client 115.187.48.141] Finished under Sheet- Books | Row Number : 21 | count of Excel Fields: 15 | Count of Insert: 15 | Status OK
[Tue 2018-03-27 06:39:22 PM] [client 115.187.48.141] Finished under Sheet- Books | Row Number : 22 | count of Excel Fields: 15 | Count of Insert: 15 | Status OK
[Tue 2018-03-27 06:39:23 PM] [client 115.187.48.141] Finished under Sheet- Books | Row Number : 23 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Tue 2018-03-27 06:39:24 PM] [client 115.187.48.141] Finished under Sheet- Books | Row Number : 24 | count of Excel Fields: 14 | Count of Insert: 14 | Status OK
[Tue 2018-03-27 06:39:26 PM] [client 115.187.48.141] Finished under Sheet- Books | Row Number : 25 | count of Excel Fields: 22 | Count of Insert: 22 | Status OK
[Tue 2018-03-27 06:39:27 PM] [client 115.187.48.141] Finished under Sheet- Books | Row Number : 26 | count of Excel Fields: 11 | Count of Insert: 11 | Status OK
[Tue 2018-03-27 06:39:28 PM] [client 115.187.48.141] Finished under Sheet- Books | Row Number : 27 | count of Excel Fields: 15 | Count of Insert: 15 | Status OK
[Tue 2018-03-27 06:39:30 PM] [client 115.187.48.141] Finished under Sheet- Books | Row Number : 28 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Tue 2018-03-27 06:39:31 PM] [client 115.187.48.141] Finished under Sheet- Books | Row Number : 29 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Tue 2018-03-27 06:39:32 PM] [client 115.187.48.141] Finished under Sheet- Books | Row Number : 30 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Tue 2018-03-27 06:39:33 PM] [client 115.187.48.141] Finished under Sheet- Books | Row Number : 31 | count of Excel Fields: 17 | Count of Insert: 17 | Status OK
[Tue 2018-03-27 06:39:35 PM] [client 115.187.48.141] Finished under Sheet- Books | Row Number : 32 | count of Excel Fields: 18 | Count of Insert: 18 | Status OK
[Tue 2018-03-27 06:39:36 PM] [client 115.187.48.141] Finished under Sheet- Books | Row Number : 33 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Tue 2018-03-27 06:39:37 PM] [client 115.187.48.141] Finished under Sheet- Books | Row Number : 34 | count of Excel Fields: 14 | Count of Insert: 14 | Status OK
[Tue 2018-03-27 06:39:39 PM] [client 115.187.48.141] Finished under Sheet- Books | Row Number : 35 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Tue 2018-03-27 06:39:40 PM] [client 115.187.48.141] Finished under Sheet- Books | Row Number : 36 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Tue 2018-03-27 06:39:42 PM] [client 115.187.48.141] Finished under Sheet- Books | Row Number : 37 | count of Excel Fields: 20 | Count of Insert: 20 | Status OK
[Tue 2018-03-27 06:39:43 PM] [client 115.187.48.141] Finished under Sheet- Books | Row Number : 38 | count of Excel Fields: 18 | Count of Insert: 18 | Status OK
