[Thu 2018-03-29 11:27:55 AM] [client 116.206.223.150] Finished under Sheet- Catalogue | Row Number : 0 | count of Excel Fields: 47 | Count of Insert: 47 | Status OK
[Thu 2018-03-29 11:28:10 AM] [client 116.206.223.150] Finished under Sheet- Catalogue | Row Number : 1 | count of Excel Fields: 57 | Count of Insert: 57 | Status OK
[Thu 2018-03-29 11:28:26 AM] [client 116.206.223.150] Finished under Sheet- Catalogue | Row Number : 2 | count of Excel Fields: 49 | Count of Insert: 49 | Status OK
[Thu 2018-03-29 11:28:41 AM] [client 116.206.223.150] Finished under Sheet- Catalogue | Row Number : 3 | count of Excel Fields: 46 | Count of Insert: 46 | Status OK
[Thu 2018-03-29 11:28:50 AM] [client 116.206.223.150] Finished under Sheet- Catalogue | Row Number : 4 | count of Excel Fields: 23 | Count of Insert: 23 | Status OK
[Thu 2018-03-29 11:28:59 AM] [client 116.206.223.150] Finished under Sheet- Catalogue | Row Number : 5 | count of Excel Fields: 21 | Count of Insert: 21 | Status OK
[Thu 2018-03-29 11:29:08 AM] [client 116.206.223.150] Finished under Sheet- Catalogue | Row Number : 6 | count of Excel Fields: 22 | Count of Insert: 22 | Status OK
[Thu 2018-03-29 11:29:19 AM] [client 116.206.223.150] Finished under Sheet- Catalogue | Row Number : 7 | count of Excel Fields: 23 | Count of Insert: 23 | Status OK
[Thu 2018-03-29 11:29:30 AM] [client 116.206.223.150] Finished under Sheet- Catalogue | Row Number : 8 | count of Excel Fields: 21 | Count of Insert: 21 | Status OK
[Thu 2018-03-29 11:29:40 AM] [client 116.206.223.150] Finished under Sheet- Catalogue | Row Number : 9 | count of Excel Fields: 22 | Count of Insert: 22 | Status OK
[Thu 2018-03-29 11:29:51 AM] [client 116.206.223.150] Finished under Sheet- Catalogue | Row Number : 10 | count of Excel Fields: 24 | Count of Insert: 24 | Status OK
[Thu 2018-03-29 11:30:02 AM] [client 116.206.223.150] Finished under Sheet- Catalogue | Row Number : 11 | count of Excel Fields: 24 | Count of Insert: 24 | Status OK
[Thu 2018-03-29 11:30:13 AM] [client 116.206.223.150] Finished under Sheet- Catalogue | Row Number : 12 | count of Excel Fields: 21 | Count of Insert: 21 | Status OK
[Thu 2018-03-29 11:30:22 AM] [client 116.206.223.150] Finished under Sheet- Catalogue | Row Number : 13 | count of Excel Fields: 17 | Count of Insert: 17 | Status OK
[Thu 2018-03-29 11:30:32 AM] [client 116.206.223.150] Finished under Sheet- Catalogue | Row Number : 14 | count of Excel Fields: 19 | Count of Insert: 19 | Status OK
[Thu 2018-03-29 11:30:42 AM] [client 116.206.223.150] Finished under Sheet- Catalogue | Row Number : 15 | count of Excel Fields: 21 | Count of Insert: 21 | Status OK
[Thu 2018-03-29 11:30:50 AM] [client 116.206.223.150] Finished under Sheet- Catalogue | Row Number : 16 | count of Excel Fields: 16 | Count of Insert: 16 | Status OK
[Thu 2018-03-29 11:30:59 AM] [client 116.206.223.150] Finished under Sheet- Catalogue | Row Number : 17 | count of Excel Fields: 16 | Count of Insert: 16 | Status OK
[Thu 2018-03-29 11:31:09 AM] [client 116.206.223.150] Finished under Sheet- Catalogue | Row Number : 18 | count of Excel Fields: 18 | Count of Insert: 18 | Status OK
[Thu 2018-03-29 11:31:20 AM] [client 116.206.223.150] Finished under Sheet- Catalogue | Row Number : 19 | count of Excel Fields: 22 | Count of Insert: 22 | Status OK
[Thu 2018-03-29 11:31:28 AM] [client 116.206.223.150] Finished under Sheet- Catalogue | Row Number : 20 | count of Excel Fields: 17 | Count of Insert: 17 | Status OK
[Thu 2018-03-29 11:31:38 AM] [client 116.206.223.150] Finished under Sheet- Catalogue | Row Number : 21 | count of Excel Fields: 18 | Count of Insert: 18 | Status OK
[Thu 2018-03-29 11:31:47 AM] [client 116.206.223.150] Finished under Sheet- Catalogue | Row Number : 22 | count of Excel Fields: 17 | Count of Insert: 17 | Status OK
[Thu 2018-03-29 11:31:56 AM] [client 116.206.223.150] Finished under Sheet- Catalogue | Row Number : 23 | count of Excel Fields: 11 | Count of Insert: 11 | Status OK
[Thu 2018-03-29 11:32:06 AM] [client 116.206.223.150] Finished under Sheet- Catalogue | Row Number : 24 | count of Excel Fields: 15 | Count of Insert: 15 | Status OK
[Thu 2018-03-29 11:32:14 AM] [client 116.206.223.150] Finished under Sheet- Catalogue | Row Number : 25 | count of Excel Fields: 15 | Count of Insert: 15 | Status OK
[Thu 2018-03-29 11:32:23 AM] [client 116.206.223.150] Finished under Sheet- Catalogue | Row Number : 26 | count of Excel Fields: 15 | Count of Insert: 15 | Status OK
[Thu 2018-03-29 11:32:33 AM] [client 116.206.223.150] Finished under Sheet- Catalogue | Row Number : 27 | count of Excel Fields: 15 | Count of Insert: 15 | Status OK
[Thu 2018-03-29 11:32:43 AM] [client 116.206.223.150] Finished under Sheet- Catalogue | Row Number : 28 | count of Excel Fields: 15 | Count of Insert: 15 | Status OK
[Thu 2018-03-29 11:32:53 AM] [client 116.206.223.150] Finished under Sheet- Catalogue | Row Number : 29 | count of Excel Fields: 16 | Count of Insert: 16 | Status OK
[Thu 2018-03-29 11:33:01 AM] [client 116.206.223.150] Finished under Sheet- Catalogue | Row Number : 30 | count of Excel Fields: 9 | Count of Insert: 9 | Status OK
[Thu 2018-03-29 11:33:09 AM] [client 116.206.223.150] Finished under Sheet- Catalogue | Row Number : 31 | count of Excel Fields: 15 | Count of Insert: 15 | Status OK
[Thu 2018-03-29 11:33:20 AM] [client 116.206.223.150] Finished under Sheet- Catalogue | Row Number : 32 | count of Excel Fields: 15 | Count of Insert: 15 | Status OK
[Thu 2018-03-29 11:33:29 AM] [client 116.206.223.150] Finished under Sheet- Catalogue | Row Number : 33 | count of Excel Fields: 15 | Count of Insert: 15 | Status OK
[Thu 2018-03-29 11:33:36 AM] [client 116.206.223.150] Finished under Sheet- Catalogue | Row Number : 34 | count of Excel Fields: 15 | Count of Insert: 15 | Status OK
[Thu 2018-03-29 11:33:45 AM] [client 116.206.223.150] Finished under Sheet- Catalogue | Row Number : 35 | count of Excel Fields: 17 | Count of Insert: 17 | Status OK
[Thu 2018-03-29 11:33:53 AM] [client 116.206.223.150] Finished under Sheet- Catalogue | Row Number : 36 | count of Excel Fields: 15 | Count of Insert: 15 | Status OK
[Thu 2018-03-29 11:34:01 AM] [client 116.206.223.150] Finished under Sheet- Catalogue | Row Number : 37 | count of Excel Fields: 15 | Count of Insert: 15 | Status OK
[Thu 2018-03-29 11:34:11 AM] [client 116.206.223.150] Finished under Sheet- Catalogue | Row Number : 38 | count of Excel Fields: 15 | Count of Insert: 15 | Status OK
[Thu 2018-03-29 11:41:30 AM] [client 116.206.223.150] Finished under Sheet- Catalogue | Row Number : 0 | count of Excel Fields: 15 | Count of Insert: 15 | Status OK
[Thu 2018-03-29 11:41:35 AM] [client 116.206.223.150] Finished under Sheet- Catalogue | Row Number : 1 | count of Excel Fields: 17 | Count of Insert: 17 | Status OK
[Thu 2018-03-29 11:41:39 AM] [client 116.206.223.150] Finished under Sheet- Catalogue | Row Number : 2 | count of Excel Fields: 17 | Count of Insert: 17 | Status OK
[Thu 2018-03-29 11:41:44 AM] [client 116.206.223.150] Finished under Sheet- Catalogue | Row Number : 3 | count of Excel Fields: 18 | Count of Insert: 18 | Status OK
[Thu 2018-03-29 11:41:48 AM] [client 116.206.223.150] Finished under Sheet- Catalogue | Row Number : 4 | count of Excel Fields: 20 | Count of Insert: 20 | Status OK
[Thu 2018-03-29 11:41:53 AM] [client 116.206.223.150] Finished under Sheet- Catalogue | Row Number : 5 | count of Excel Fields: 21 | Count of Insert: 21 | Status OK
[Thu 2018-03-29 11:41:58 AM] [client 116.206.223.150] Finished under Sheet- Catalogue | Row Number : 6 | count of Excel Fields: 21 | Count of Insert: 21 | Status OK
[Thu 2018-03-29 11:42:03 AM] [client 116.206.223.150] Finished under Sheet- Catalogue | Row Number : 7 | count of Excel Fields: 20 | Count of Insert: 20 | Status OK
[Thu 2018-03-29 11:42:08 AM] [client 116.206.223.150] Finished under Sheet- Catalogue | Row Number : 8 | count of Excel Fields: 20 | Count of Insert: 20 | Status OK
[Thu 2018-03-29 11:42:12 AM] [client 116.206.223.150] Finished under Sheet- Catalogue | Row Number : 9 | count of Excel Fields: 16 | Count of Insert: 16 | Status OK
[Thu 2018-03-29 11:42:17 AM] [client 116.206.223.150] Finished under Sheet- Catalogue | Row Number : 10 | count of Excel Fields: 23 | Count of Insert: 23 | Status OK
