[Thu 2018-04-05 02:13:39 PM] [client 115.187.48.206] Finished under Sheet- Books | Row Number : 0 | count of Excel Fields: 16 | Count of Insert: 16 | Status OK
[Thu 2018-04-05 02:16:41 PM] [client 115.187.48.206] Finished under Sheet- Books | Row Number : 0 | count of Excel Fields: 14 | Count of Insert: 14 | Status OK
[Thu 2018-04-05 02:16:44 PM] [client 115.187.48.206] Finished under Sheet- Books | Row Number : 1 | count of Excel Fields: 21 | Count of Insert: 21 | Status OK
[Thu 2018-04-05 02:16:46 PM] [client 115.187.48.206] Finished under Sheet- Books | Row Number : 2 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Thu 2018-04-05 02:16:48 PM] [client 115.187.48.206] Finished under Sheet- Books | Row Number : 3 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Thu 2018-04-05 02:16:50 PM] [client 115.187.48.206] Finished under Sheet- Books | Row Number : 4 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Thu 2018-04-05 02:16:53 PM] [client 115.187.48.206] Finished under Sheet- Books | Row Number : 5 | count of Excel Fields: 19 | Count of Insert: 19 | Status OK
[Thu 2018-04-05 02:16:56 PM] [client 115.187.48.206] Finished under Sheet- Books | Row Number : 6 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Thu 2018-04-05 02:16:58 PM] [client 115.187.48.206] Finished under Sheet- Books | Row Number : 7 | count of Excel Fields: 11 | Count of Insert: 11 | Status OK
[Thu 2018-04-05 02:17:01 PM] [client 115.187.48.206] Finished under Sheet- Books | Row Number : 8 | count of Excel Fields: 18 | Count of Insert: 18 | Status OK
[Thu 2018-04-05 02:17:05 PM] [client 115.187.48.206] Finished under Sheet- Books | Row Number : 9 | count of Excel Fields: 23 | Count of Insert: 23 | Status OK
[Thu 2018-04-05 02:17:08 PM] [client 115.187.48.206] Finished under Sheet- Books | Row Number : 10 | count of Excel Fields: 16 | Count of Insert: 16 | Status OK
[Thu 2018-04-05 02:17:11 PM] [client 115.187.48.206] Finished under Sheet- Books | Row Number : 11 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Thu 2018-04-05 02:17:14 PM] [client 115.187.48.206] Finished under Sheet- Books | Row Number : 12 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Thu 2018-04-05 02:17:18 PM] [client 115.187.48.206] Finished under Sheet- Books | Row Number : 13 | count of Excel Fields: 28 | Count of Insert: 28 | Status OK
[Thu 2018-04-05 02:17:22 PM] [client 115.187.48.206] Finished under Sheet- Books | Row Number : 14 | count of Excel Fields: 18 | Count of Insert: 18 | Status OK
[Thu 2018-04-05 02:17:26 PM] [client 115.187.48.206] Finished under Sheet- Books | Row Number : 15 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Thu 2018-04-05 02:17:29 PM] [client 115.187.48.206] Finished under Sheet- Books | Row Number : 16 | count of Excel Fields: 14 | Count of Insert: 14 | Status OK
[Thu 2018-04-05 02:17:33 PM] [client 115.187.48.206] Finished under Sheet- Books | Row Number : 17 | count of Excel Fields: 26 | Count of Insert: 26 | Status OK
[Thu 2018-04-05 02:17:36 PM] [client 115.187.48.206] Finished under Sheet- Books | Row Number : 18 | count of Excel Fields: 16 | Count of Insert: 16 | Status OK
[Thu 2018-04-05 02:17:39 PM] [client 115.187.48.206] Finished under Sheet- Books | Row Number : 19 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Thu 2018-04-05 02:17:41 PM] [client 115.187.48.206] Finished under Sheet- Books | Row Number : 20 | count of Excel Fields: 17 | Count of Insert: 17 | Status OK
[Thu 2018-04-05 02:17:44 PM] [client 115.187.48.206] Finished under Sheet- Books | Row Number : 21 | count of Excel Fields: 17 | Count of Insert: 17 | Status OK
[Thu 2018-04-05 02:17:47 PM] [client 115.187.48.206] Finished under Sheet- Books | Row Number : 22 | count of Excel Fields: 17 | Count of Insert: 17 | Status OK
[Thu 2018-04-05 02:17:50 PM] [client 115.187.48.206] Finished under Sheet- Books | Row Number : 23 | count of Excel Fields: 20 | Count of Insert: 20 | Status OK
[Thu 2018-04-05 02:17:53 PM] [client 115.187.48.206] Finished under Sheet- Books | Row Number : 24 | count of Excel Fields: 11 | Count of Insert: 11 | Status OK
[Thu 2018-04-05 02:17:55 PM] [client 115.187.48.206] Finished under Sheet- Books | Row Number : 25 | count of Excel Fields: 15 | Count of Insert: 15 | Status OK
[Thu 2018-04-05 02:17:57 PM] [client 115.187.48.206] Finished under Sheet- Books | Row Number : 26 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Thu 2018-04-05 02:17:59 PM] [client 115.187.48.206] Finished under Sheet- Books | Row Number : 27 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Thu 2018-04-05 02:22:37 PM] [client 115.187.48.206] Finished under Sheet- Books | Row Number : 0 | count of Excel Fields: 11 | Count of Insert: 11 | Status OK
