[Thu 2018-04-12 04:54:07 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 0 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Thu 2018-04-12 04:54:09 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 1 | count of Excel Fields: 10 | Count of Insert: 10 | Status OK
[Thu 2018-04-12 04:54:10 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 2 | count of Excel Fields: 11 | Count of Insert: 11 | Status OK
[Thu 2018-04-12 04:54:12 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 3 | count of Excel Fields: 11 | Count of Insert: 11 | Status OK
[Thu 2018-04-12 04:54:14 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 4 | count of Excel Fields: 11 | Count of Insert: 11 | Status OK
[Thu 2018-04-12 04:54:16 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 5 | count of Excel Fields: 11 | Count of Insert: 11 | Status OK
[Thu 2018-04-12 04:54:17 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 6 | count of Excel Fields: 11 | Count of Insert: 11 | Status OK
[Thu 2018-04-12 04:54:19 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 7 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Thu 2018-04-12 04:54:21 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 8 | count of Excel Fields: 15 | Count of Insert: 15 | Status OK
[Thu 2018-04-12 04:54:23 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 9 | count of Excel Fields: 15 | Count of Insert: 15 | Status OK
[Thu 2018-04-12 04:54:25 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 10 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Thu 2018-04-12 04:54:27 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 11 | count of Excel Fields: 11 | Count of Insert: 11 | Status OK
[Thu 2018-04-12 04:54:28 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 12 | count of Excel Fields: 11 | Count of Insert: 11 | Status OK
[Thu 2018-04-12 04:54:30 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 13 | count of Excel Fields: 11 | Count of Insert: 11 | Status OK
[Thu 2018-04-12 04:54:32 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 14 | count of Excel Fields: 11 | Count of Insert: 11 | Status OK
[Thu 2018-04-12 04:54:34 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 15 | count of Excel Fields: 11 | Count of Insert: 11 | Status OK
[Thu 2018-04-12 04:54:36 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 16 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Thu 2018-04-12 04:54:38 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 17 | count of Excel Fields: 11 | Count of Insert: 11 | Status OK
[Thu 2018-04-12 04:54:40 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 18 | count of Excel Fields: 11 | Count of Insert: 11 | Status OK
[Thu 2018-04-12 04:54:42 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 19 | count of Excel Fields: 11 | Count of Insert: 11 | Status OK
[Thu 2018-04-12 04:54:44 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 20 | count of Excel Fields: 10 | Count of Insert: 10 | Status OK
[Thu 2018-04-12 04:54:46 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 21 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Thu 2018-04-12 04:54:48 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 22 | count of Excel Fields: 10 | Count of Insert: 10 | Status OK
[Thu 2018-04-12 04:54:50 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 23 | count of Excel Fields: 11 | Count of Insert: 11 | Status OK
[Thu 2018-04-12 04:54:52 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 24 | count of Excel Fields: 11 | Count of Insert: 11 | Status OK
[Thu 2018-04-12 04:54:54 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 25 | count of Excel Fields: 9 | Count of Insert: 9 | Status OK
[Thu 2018-04-12 04:54:56 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 26 | count of Excel Fields: 15 | Count of Insert: 15 | Status OK
[Thu 2018-04-12 04:54:58 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 27 | count of Excel Fields: 14 | Count of Insert: 14 | Status OK
[Thu 2018-04-12 04:55:01 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 28 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Thu 2018-04-12 04:55:03 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 29 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Thu 2018-04-12 04:55:05 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 30 | count of Excel Fields: 11 | Count of Insert: 11 | Status OK
[Thu 2018-04-12 04:55:07 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 31 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Thu 2018-04-12 04:55:09 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 32 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Thu 2018-04-12 04:55:11 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 33 | count of Excel Fields: 11 | Count of Insert: 11 | Status OK
[Thu 2018-04-12 04:55:13 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 34 | count of Excel Fields: 11 | Count of Insert: 11 | Status OK
[Thu 2018-04-12 04:55:15 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 35 | count of Excel Fields: 11 | Count of Insert: 11 | Status OK
[Thu 2018-04-12 04:55:17 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 36 | count of Excel Fields: 11 | Count of Insert: 11 | Status OK
[Thu 2018-04-12 04:55:19 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 37 | count of Excel Fields: 11 | Count of Insert: 11 | Status OK
[Thu 2018-04-12 04:55:21 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 38 | count of Excel Fields: 11 | Count of Insert: 11 | Status OK
[Thu 2018-04-12 04:57:30 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 0 | count of Excel Fields: 11 | Count of Insert: 11 | Status OK
[Thu 2018-04-12 04:57:31 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 1 | count of Excel Fields: 11 | Count of Insert: 11 | Status OK
[Thu 2018-04-12 04:57:33 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 2 | count of Excel Fields: 11 | Count of Insert: 11 | Status OK
[Thu 2018-04-12 04:57:34 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 3 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Thu 2018-04-12 04:57:35 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 4 | count of Excel Fields: 10 | Count of Insert: 10 | Status OK
[Thu 2018-04-12 04:57:36 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 5 | count of Excel Fields: 10 | Count of Insert: 10 | Status OK
