[Fri 2018-04-20 08:30:50 AM] [client 47.15.92.37] Finished under Sheet- Catalogue | Row Number : 0 | count of Excel Fields: 11 | Count of Insert: 11 | Status OK
[Fri 2018-04-20 08:30:51 AM] [client 47.15.92.37] Finished under Sheet- Catalogue | Row Number : 1 | count of Excel Fields: 14 | Count of Insert: 14 | Status OK
[Fri 2018-04-20 08:30:53 AM] [client 47.15.92.37] Finished under Sheet- Catalogue | Row Number : 2 | count of Excel Fields: 11 | Count of Insert: 11 | Status OK
[Fri 2018-04-20 08:30:54 AM] [client 47.15.92.37] Finished under Sheet- Catalogue | Row Number : 3 | count of Excel Fields: 15 | Count of Insert: 15 | Status OK
[Fri 2018-04-20 08:30:55 AM] [client 47.15.92.37] Finished under Sheet- Catalogue | Row Number : 4 | count of Excel Fields: 10 | Count of Insert: 10 | Status OK
[Fri 2018-04-20 08:30:56 AM] [client 47.15.92.37] Finished under Sheet- Catalogue | Row Number : 5 | count of Excel Fields: 14 | Count of Insert: 14 | Status OK
[Fri 2018-04-20 08:30:57 AM] [client 47.15.92.37] Finished under Sheet- Catalogue | Row Number : 6 | count of Excel Fields: 10 | Count of Insert: 10 | Status OK
[Fri 2018-04-20 08:30:58 AM] [client 47.15.92.37] Finished under Sheet- Catalogue | Row Number : 7 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Fri 2018-04-20 08:30:59 AM] [client 47.15.92.37] Finished under Sheet- Catalogue | Row Number : 8 | count of Excel Fields: 11 | Count of Insert: 11 | Status OK
[Fri 2018-04-20 08:31:00 AM] [client 47.15.92.37] Finished under Sheet- Catalogue | Row Number : 9 | count of Excel Fields: 11 | Count of Insert: 11 | Status OK
[Fri 2018-04-20 08:31:01 AM] [client 47.15.92.37] Finished under Sheet- Catalogue | Row Number : 10 | count of Excel Fields: 10 | Count of Insert: 10 | Status OK
[Fri 2018-04-20 08:31:02 AM] [client 47.15.92.37] Finished under Sheet- Catalogue | Row Number : 11 | count of Excel Fields: 11 | Count of Insert: 11 | Status OK
[Fri 2018-04-20 08:31:03 AM] [client 47.15.92.37] Finished under Sheet- Catalogue | Row Number : 12 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Fri 2018-04-20 08:31:04 AM] [client 47.15.92.37] Finished under Sheet- Catalogue | Row Number : 13 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Fri 2018-04-20 08:31:05 AM] [client 47.15.92.37] Finished under Sheet- Catalogue | Row Number : 14 | count of Excel Fields: 10 | Count of Insert: 10 | Status OK
[Fri 2018-04-20 08:31:06 AM] [client 47.15.92.37] Finished under Sheet- Catalogue | Row Number : 15 | count of Excel Fields: 11 | Count of Insert: 11 | Status OK
[Fri 2018-04-20 08:31:07 AM] [client 47.15.92.37] Finished under Sheet- Catalogue | Row Number : 16 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Fri 2018-04-20 08:31:08 AM] [client 47.15.92.37] Finished under Sheet- Catalogue | Row Number : 17 | count of Excel Fields: 14 | Count of Insert: 14 | Status OK
[Fri 2018-04-20 08:31:09 AM] [client 47.15.92.37] Finished under Sheet- Catalogue | Row Number : 18 | count of Excel Fields: 10 | Count of Insert: 10 | Status OK
[Fri 2018-04-20 08:31:09 AM] [client 47.15.92.37] Finished under Sheet- Catalogue | Row Number : 19 | count of Excel Fields: 11 | Count of Insert: 11 | Status OK
[Fri 2018-04-20 08:31:11 AM] [client 47.15.92.37] Finished under Sheet- Catalogue | Row Number : 20 | count of Excel Fields: 15 | Count of Insert: 15 | Status OK
[Fri 2018-04-20 08:31:12 AM] [client 47.15.92.37] Finished under Sheet- Catalogue | Row Number : 21 | count of Excel Fields: 11 | Count of Insert: 11 | Status OK
[Fri 2018-04-20 08:31:12 AM] [client 47.15.92.37] Finished under Sheet- Catalogue | Row Number : 22 | count of Excel Fields: 10 | Count of Insert: 10 | Status OK
[Fri 2018-04-20 08:31:13 AM] [client 47.15.92.37] Finished under Sheet- Catalogue | Row Number : 23 | count of Excel Fields: 10 | Count of Insert: 10 | Status OK
[Fri 2018-04-20 08:31:14 AM] [client 47.15.92.37] Finished under Sheet- Catalogue | Row Number : 24 | count of Excel Fields: 10 | Count of Insert: 10 | Status OK
[Fri 2018-04-20 08:31:15 AM] [client 47.15.92.37] Finished under Sheet- Catalogue | Row Number : 25 | count of Excel Fields: 11 | Count of Insert: 11 | Status OK
[Fri 2018-04-20 08:31:16 AM] [client 47.15.92.37] Finished under Sheet- Catalogue | Row Number : 26 | count of Excel Fields: 10 | Count of Insert: 10 | Status OK
[Fri 2018-04-20 08:31:17 AM] [client 47.15.92.37] Finished under Sheet- Catalogue | Row Number : 27 | count of Excel Fields: 11 | Count of Insert: 11 | Status OK
[Fri 2018-04-20 08:31:18 AM] [client 47.15.92.37] Finished under Sheet- Catalogue | Row Number : 28 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Fri 2018-04-20 08:31:19 AM] [client 47.15.92.37] Finished under Sheet- Catalogue | Row Number : 29 | count of Excel Fields: 10 | Count of Insert: 10 | Status OK
[Fri 2018-04-20 08:31:20 AM] [client 47.15.92.37] Finished under Sheet- Catalogue | Row Number : 30 | count of Excel Fields: 14 | Count of Insert: 14 | Status OK
[Fri 2018-04-20 08:31:22 AM] [client 47.15.92.37] Finished under Sheet- Catalogue | Row Number : 31 | count of Excel Fields: 14 | Count of Insert: 14 | Status OK
[Fri 2018-04-20 08:31:22 AM] [client 47.15.92.37] Finished under Sheet- Catalogue | Row Number : 32 | count of Excel Fields: 11 | Count of Insert: 11 | Status OK
[Fri 2018-04-20 08:31:23 AM] [client 47.15.92.37] Finished under Sheet- Catalogue | Row Number : 33 | count of Excel Fields: 11 | Count of Insert: 11 | Status OK
[Fri 2018-04-20 08:31:24 AM] [client 47.15.92.37] Finished under Sheet- Catalogue | Row Number : 34 | count of Excel Fields: 11 | Count of Insert: 11 | Status OK
[Fri 2018-04-20 08:31:25 AM] [client 47.15.92.37] Finished under Sheet- Catalogue | Row Number : 35 | count of Excel Fields: 16 | Count of Insert: 16 | Status OK
[Fri 2018-04-20 08:31:26 AM] [client 47.15.92.37] Finished under Sheet- Catalogue | Row Number : 36 | count of Excel Fields: 11 | Count of Insert: 11 | Status OK
