[Sun 2018-05-06 08:26:39 AM] [client 47.15.102.79] Finished under Sheet- Catalogue | Row Number : 0 | count of Excel Fields: 19 | Count of Insert: 19 | Status OK
[Sun 2018-05-06 08:26:40 AM] [client 47.15.102.79] Finished under Sheet- Catalogue | Row Number : 1 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Sun 2018-05-06 08:26:41 AM] [client 47.15.102.79] Finished under Sheet- Catalogue | Row Number : 2 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Sun 2018-05-06 08:26:42 AM] [client 47.15.102.79] Finished under Sheet- Catalogue | Row Number : 3 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Sun 2018-05-06 08:26:43 AM] [client 47.15.102.79] Finished under Sheet- Catalogue | Row Number : 4 | count of Excel Fields: 11 | Count of Insert: 11 | Status OK
[Sun 2018-05-06 08:26:44 AM] [client 47.15.102.79] Finished under Sheet- Catalogue | Row Number : 5 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Sun 2018-05-06 08:26:45 AM] [client 47.15.102.79] Finished under Sheet- Catalogue | Row Number : 6 | count of Excel Fields: 11 | Count of Insert: 11 | Status OK
[Sun 2018-05-06 08:26:46 AM] [client 47.15.102.79] Finished under Sheet- Catalogue | Row Number : 7 | count of Excel Fields: 11 | Count of Insert: 11 | Status OK
[Sun 2018-05-06 08:26:47 AM] [client 47.15.102.79] Finished under Sheet- Catalogue | Row Number : 8 | count of Excel Fields: 10 | Count of Insert: 10 | Status OK
[Sun 2018-05-06 08:26:48 AM] [client 47.15.102.79] Finished under Sheet- Catalogue | Row Number : 9 | count of Excel Fields: 11 | Count of Insert: 11 | Status OK
[Sun 2018-05-06 08:26:49 AM] [client 47.15.102.79] Finished under Sheet- Catalogue | Row Number : 10 | count of Excel Fields: 10 | Count of Insert: 10 | Status OK
[Sun 2018-05-06 08:26:50 AM] [client 47.15.102.79] Finished under Sheet- Catalogue | Row Number : 11 | count of Excel Fields: 18 | Count of Insert: 18 | Status OK
[Sun 2018-05-06 08:40:17 AM] [client 47.15.64.163] Finished under Sheet- Catalogue Essay | Row Number : 0 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Sun 2018-05-06 08:40:18 AM] [client 47.15.64.163] Finished under Sheet- Catalogue Essay | Row Number : 1 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Sun 2018-05-06 08:40:19 AM] [client 47.15.64.163] Finished under Sheet- Catalogue Essay | Row Number : 2 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Sun 2018-05-06 08:40:20 AM] [client 47.15.64.163] Finished under Sheet- Catalogue Essay | Row Number : 3 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Sun 2018-05-06 08:40:22 AM] [client 47.15.64.163] Finished under Sheet- Catalogue Essay | Row Number : 4 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
