[Mon 2018-05-07 11:32:27 AM] [client 116.206.223.245] Finished under Sheet- Catalogue | Row Number : 0 | count of Excel Fields: 10 | Count of Insert: 10 | Status OK
[Mon 2018-05-07 11:32:28 AM] [client 116.206.223.245] Finished under Sheet- Catalogue | Row Number : 1 | count of Excel Fields: 14 | Count of Insert: 14 | Status OK
[Mon 2018-05-07 11:32:29 AM] [client 116.206.223.245] Finished under Sheet- Catalogue | Row Number : 2 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Mon 2018-05-07 11:32:30 AM] [client 116.206.223.245] Finished under Sheet- Catalogue | Row Number : 3 | count of Excel Fields: 10 | Count of Insert: 10 | Status OK
[Mon 2018-05-07 11:32:31 AM] [client 116.206.223.245] Finished under Sheet- Catalogue | Row Number : 4 | count of Excel Fields: 11 | Count of Insert: 11 | Status OK
[Mon 2018-05-07 11:32:33 AM] [client 116.206.223.245] Finished under Sheet- Catalogue | Row Number : 5 | count of Excel Fields: 10 | Count of Insert: 10 | Status OK
[Mon 2018-05-07 11:32:33 AM] [client 116.206.223.245] Finished under Sheet- Catalogue | Row Number : 6 | count of Excel Fields: 10 | Count of Insert: 10 | Status OK
[Mon 2018-05-07 11:32:34 AM] [client 116.206.223.245] Finished under Sheet- Catalogue | Row Number : 7 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Mon 2018-05-07 11:32:35 AM] [client 116.206.223.245] Finished under Sheet- Catalogue | Row Number : 8 | count of Excel Fields: 11 | Count of Insert: 11 | Status OK
[Mon 2018-05-07 11:32:37 AM] [client 116.206.223.245] Finished under Sheet- Catalogue | Row Number : 9 | count of Excel Fields: 17 | Count of Insert: 17 | Status OK
[Mon 2018-05-07 11:32:38 AM] [client 116.206.223.245] Finished under Sheet- Catalogue | Row Number : 10 | count of Excel Fields: 11 | Count of Insert: 11 | Status OK
[Mon 2018-05-07 11:32:39 AM] [client 116.206.223.245] Finished under Sheet- Catalogue | Row Number : 11 | count of Excel Fields: 10 | Count of Insert: 10 | Status OK
[Mon 2018-05-07 11:32:40 AM] [client 116.206.223.245] Finished under Sheet- Catalogue | Row Number : 12 | count of Excel Fields: 11 | Count of Insert: 11 | Status OK
[Mon 2018-05-07 11:32:41 AM] [client 116.206.223.245] Finished under Sheet- Catalogue | Row Number : 13 | count of Excel Fields: 11 | Count of Insert: 11 | Status OK
[Mon 2018-05-07 11:32:42 AM] [client 116.206.223.245] Finished under Sheet- Catalogue | Row Number : 14 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
