[Thu 2018-05-10 10:59:54 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 0 | count of Excel Fields: 17 | Count of Insert: 17 | Status OK
[Thu 2018-05-10 10:59:56 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 1 | count of Excel Fields: 17 | Count of Insert: 17 | Status OK
[Thu 2018-05-10 10:59:57 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 2 | count of Excel Fields: 15 | Count of Insert: 15 | Status OK
[Thu 2018-05-10 10:59:59 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 3 | count of Excel Fields: 14 | Count of Insert: 14 | Status OK
[Thu 2018-05-10 11:00:02 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 4 | count of Excel Fields: 16 | Count of Insert: 16 | Status OK
[Thu 2018-05-10 11:00:06 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 5 | count of Excel Fields: 40 | Count of Insert: 40 | Status OK
[Thu 2018-05-10 11:00:10 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 6 | count of Excel Fields: 35 | Count of Insert: 35 | Status OK
[Thu 2018-05-10 11:00:13 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 7 | count of Excel Fields: 30 | Count of Insert: 30 | Status OK
[Thu 2018-05-10 11:00:16 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 8 | count of Excel Fields: 30 | Count of Insert: 30 | Status OK
[Thu 2018-05-10 11:00:20 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 9 | count of Excel Fields: 29 | Count of Insert: 29 | Status OK
[Thu 2018-05-10 11:00:22 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 10 | count of Excel Fields: 26 | Count of Insert: 26 | Status OK
[Thu 2018-05-10 11:00:25 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 11 | count of Excel Fields: 27 | Count of Insert: 27 | Status OK
[Thu 2018-05-10 11:00:28 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 12 | count of Excel Fields: 28 | Count of Insert: 28 | Status OK
[Thu 2018-05-10 11:00:33 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 13 | count of Excel Fields: 27 | Count of Insert: 27 | Status OK
[Thu 2018-05-10 11:00:37 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 14 | count of Excel Fields: 31 | Count of Insert: 31 | Status OK
[Thu 2018-05-10 11:00:40 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 15 | count of Excel Fields: 30 | Count of Insert: 30 | Status OK
[Thu 2018-05-10 11:00:43 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 16 | count of Excel Fields: 24 | Count of Insert: 24 | Status OK
[Thu 2018-05-10 11:00:46 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 17 | count of Excel Fields: 24 | Count of Insert: 24 | Status OK
[Thu 2018-05-10 11:00:49 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 18 | count of Excel Fields: 23 | Count of Insert: 23 | Status OK
[Thu 2018-05-10 11:00:52 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 19 | count of Excel Fields: 24 | Count of Insert: 24 | Status OK
[Thu 2018-05-10 11:00:56 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 20 | count of Excel Fields: 28 | Count of Insert: 28 | Status OK
[Thu 2018-05-10 11:01:00 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 21 | count of Excel Fields: 24 | Count of Insert: 24 | Status OK
[Thu 2018-05-10 11:01:04 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 22 | count of Excel Fields: 25 | Count of Insert: 25 | Status OK
[Thu 2018-05-10 11:01:08 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 23 | count of Excel Fields: 28 | Count of Insert: 28 | Status OK
[Thu 2018-05-10 11:41:17 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 0 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Thu 2018-05-10 11:41:18 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 1 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Thu 2018-05-10 11:41:19 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 2 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Thu 2018-05-10 11:41:21 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 3 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Thu 2018-05-10 11:41:22 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 4 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Thu 2018-05-10 11:41:23 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 5 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Thu 2018-05-10 11:41:24 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 6 | count of Excel Fields: 11 | Count of Insert: 11 | Status OK
[Thu 2018-05-10 11:41:25 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 7 | count of Excel Fields: 11 | Count of Insert: 11 | Status OK
[Thu 2018-05-10 11:41:26 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 8 | count of Excel Fields: 11 | Count of Insert: 11 | Status OK
[Thu 2018-05-10 11:41:27 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 9 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Thu 2018-05-10 11:41:28 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 10 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Thu 2018-05-10 11:41:30 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 11 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Thu 2018-05-10 11:41:31 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 12 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Thu 2018-05-10 11:41:32 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 13 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Thu 2018-05-10 11:41:33 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 14 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Thu 2018-05-10 11:41:34 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 15 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Thu 2018-05-10 11:41:36 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 16 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Thu 2018-05-10 11:41:37 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 17 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Thu 2018-05-10 11:41:38 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 18 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Thu 2018-05-10 11:41:39 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 19 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Thu 2018-05-10 11:41:40 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 20 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Thu 2018-05-10 11:41:42 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 21 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Thu 2018-05-10 11:41:43 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 22 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Thu 2018-05-10 11:41:44 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 23 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Thu 2018-05-10 11:41:46 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 24 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Thu 2018-05-10 11:41:47 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 25 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Thu 2018-05-10 11:41:48 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 26 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
