[Sun 2018-08-12 12:01:17 AM] [client 47.15.95.133] Finished under Sheet- Books | Row Number : 0 | count of Excel Fields: 29 | Count of Insert: 29 | Status OK
[Sun 2018-08-12 12:04:28 AM] [client 47.15.41.179] Finished under Sheet- Books | Row Number : 0 | count of Excel Fields: 44 | Count of Insert: 44 | Status OK
[Sun 2018-08-12 12:04:46 AM] [client 47.15.41.179] Finished under Sheet- Books | Row Number : 1 | count of Excel Fields: 27 | Count of Insert: 27 | Status OK
[Sun 2018-08-12 12:05:05 AM] [client 47.15.41.179] Finished under Sheet- Books | Row Number : 2 | count of Excel Fields: 36 | Count of Insert: 36 | Status OK
[Sun 2018-08-12 12:10:43 AM] [client 47.15.41.179] Finished under Sheet- Books | Row Number : 0 | count of Excel Fields: 33 | Count of Insert: 33 | Status OK
[Sun 2018-08-12 12:10:53 AM] [client 47.15.41.179] Finished under Sheet- Books | Row Number : 1 | count of Excel Fields: 28 | Count of Insert: 28 | Status OK
[Sun 2018-08-12 12:11:02 AM] [client 47.15.41.179] Finished under Sheet- Books | Row Number : 2 | count of Excel Fields: 24 | Count of Insert: 24 | Status OK
[Sun 2018-08-12 12:16:59 AM] [client 47.15.41.179] Finished under Sheet- Books | Row Number : 0 | count of Excel Fields: 30 | Count of Insert: 30 | Status OK
[Sun 2018-08-12 12:17:08 AM] [client 47.15.41.179] Finished under Sheet- Books | Row Number : 1 | count of Excel Fields: 28 | Count of Insert: 28 | Status OK
[Sun 2018-08-12 12:28:28 AM] [client 47.15.41.179] Finished under Sheet- Books | Row Number : 0 | count of Excel Fields: 27 | Count of Insert: 27 | Status OK
[Sun 2018-08-12 12:28:35 AM] [client 47.15.41.179] Finished under Sheet- Books | Row Number : 1 | count of Excel Fields: 17 | Count of Insert: 17 | Status OK
[Sun 2018-08-12 12:28:41 AM] [client 47.15.41.179] Finished under Sheet- Books | Row Number : 2 | count of Excel Fields: 16 | Count of Insert: 16 | Status OK
[Sun 2018-08-12 12:28:48 AM] [client 47.15.41.179] Finished under Sheet- Books | Row Number : 3 | count of Excel Fields: 17 | Count of Insert: 17 | Status OK
[Sun 2018-08-12 12:28:52 AM] [client 47.15.41.179] Finished under Sheet- Books | Row Number : 4 | count of Excel Fields: 11 | Count of Insert: 11 | Status OK
[Sun 2018-08-12 12:31:53 AM] [client 47.15.95.133] Finished under Sheet- Books | Row Number : 0 | count of Excel Fields: 9 | Count of Insert: 9 | Status OK
[Sun 2018-08-12 12:31:55 AM] [client 47.15.95.133] Finished under Sheet- Books | Row Number : 1 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Sun 2018-08-12 12:31:59 AM] [client 47.15.95.133] Finished under Sheet- Books | Row Number : 2 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Sun 2018-08-12 12:32:01 AM] [client 47.15.95.133] Finished under Sheet- Books | Row Number : 3 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Sun 2018-08-12 12:32:05 AM] [client 47.15.95.133] Finished under Sheet- Books | Row Number : 4 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Sun 2018-08-12 12:32:09 AM] [client 47.15.95.133] Finished under Sheet- Books | Row Number : 5 | count of Excel Fields: 18 | Count of Insert: 18 | Status OK
[Sun 2018-08-12 12:32:10 AM] [client 47.15.95.133] Finished under Sheet- Books | Row Number : 6 | count of Excel Fields: 15 | Count of Insert: 15 | Status OK
[Sun 2018-08-12 12:32:13 AM] [client 47.15.95.133] Finished under Sheet- Books | Row Number : 7 | count of Excel Fields: 15 | Count of Insert: 15 | Status OK
[Sun 2018-08-12 12:32:15 AM] [client 47.15.95.133] Finished under Sheet- Books | Row Number : 8 | count of Excel Fields: 18 | Count of Insert: 18 | Status OK
[Sun 2018-08-12 12:32:18 AM] [client 47.15.95.133] Finished under Sheet- Books | Row Number : 9 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Sun 2018-08-12 12:32:22 AM] [client 47.15.95.133] Finished under Sheet- Books | Row Number : 10 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Sun 2018-08-12 12:32:26 AM] [client 47.15.95.133] Finished under Sheet- Books | Row Number : 11 | count of Excel Fields: 14 | Count of Insert: 14 | Status OK
[Sun 2018-08-12 12:32:28 AM] [client 47.15.95.133] Finished under Sheet- Books | Row Number : 12 | count of Excel Fields: 14 | Count of Insert: 14 | Status OK
[Sun 2018-08-12 12:32:31 AM] [client 47.15.95.133] Finished under Sheet- Books | Row Number : 13 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Sun 2018-08-12 12:32:33 AM] [client 47.15.95.133] Finished under Sheet- Books | Row Number : 14 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Sun 2018-08-12 12:32:35 AM] [client 47.15.95.133] Finished under Sheet- Books | Row Number : 15 | count of Excel Fields: 11 | Count of Insert: 11 | Status OK
[Sun 2018-08-12 12:32:37 AM] [client 47.15.95.133] Finished under Sheet- Books | Row Number : 16 | count of Excel Fields: 10 | Count of Insert: 10 | Status OK
[Sun 2018-08-12 12:39:49 AM] [client 47.15.95.133] Finished under Sheet- Books | Row Number : 0 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Sun 2018-08-12 12:39:54 AM] [client 47.15.95.133] Finished under Sheet- Books | Row Number : 1 | count of Excel Fields: 14 | Count of Insert: 14 | Status OK
[Sun 2018-08-12 12:40:03 AM] [client 47.15.95.133] Finished under Sheet- Books | Row Number : 2 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Sun 2018-08-12 12:40:10 AM] [client 47.15.95.133] Finished under Sheet- Books | Row Number : 3 | count of Excel Fields: 22 | Count of Insert: 22 | Status OK
[Sun 2018-08-12 12:40:15 AM] [client 47.15.95.133] Finished under Sheet- Books | Row Number : 4 | count of Excel Fields: 11 | Count of Insert: 11 | Status OK
[Sun 2018-08-12 12:40:22 AM] [client 47.15.95.133] Finished under Sheet- Books | Row Number : 5 | count of Excel Fields: 27 | Count of Insert: 27 | Status OK
[Sun 2018-08-12 12:40:28 AM] [client 47.15.95.133] Finished under Sheet- Books | Row Number : 6 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Sun 2018-08-12 12:40:33 AM] [client 47.15.95.133] Finished under Sheet- Books | Row Number : 7 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Sun 2018-08-12 12:40:39 AM] [client 47.15.95.133] Finished under Sheet- Books | Row Number : 8 | count of Excel Fields: 15 | Count of Insert: 15 | Status OK
[Sun 2018-08-12 12:40:44 AM] [client 47.15.95.133] Finished under Sheet- Books | Row Number : 9 | count of Excel Fields: 11 | Count of Insert: 11 | Status OK
[Sun 2018-08-12 12:40:48 AM] [client 47.15.95.133] Finished under Sheet- Books | Row Number : 10 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Sun 2018-08-12 12:40:53 AM] [client 47.15.95.133] Finished under Sheet- Books | Row Number : 11 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Sun 2018-08-12 12:40:58 AM] [client 47.15.95.133] Finished under Sheet- Books | Row Number : 12 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Sun 2018-08-12 12:41:04 AM] [client 47.15.95.133] Finished under Sheet- Books | Row Number : 13 | count of Excel Fields: 14 | Count of Insert: 14 | Status OK
[Sun 2018-08-12 12:41:09 AM] [client 47.15.95.133] Finished under Sheet- Books | Row Number : 14 | count of Excel Fields: 11 | Count of Insert: 11 | Status OK
[Sun 2018-08-12 12:41:14 AM] [client 47.15.95.133] Finished under Sheet- Books | Row Number : 15 | count of Excel Fields: 14 | Count of Insert: 14 | Status OK
[Sun 2018-08-12 12:41:22 AM] [client 47.15.95.133] Finished under Sheet- Books | Row Number : 16 | count of Excel Fields: 17 | Count of Insert: 17 | Status OK
[Sun 2018-08-12 12:41:29 AM] [client 47.15.95.133] Finished under Sheet- Books | Row Number : 17 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Sun 2018-08-12 12:41:34 AM] [client 47.15.95.133] Finished under Sheet- Books | Row Number : 18 | count of Excel Fields: 15 | Count of Insert: 15 | Status OK
[Sun 2018-08-12 12:41:40 AM] [client 47.15.95.133] Finished under Sheet- Books | Row Number : 19 | count of Excel Fields: 11 | Count of Insert: 11 | Status OK
[Sun 2018-08-12 12:44:42 AM] [client 47.15.41.179] Finished under Sheet- Books | Row Number : 0 | count of Excel Fields: 11 | Count of Insert: 11 | Status OK
[Sun 2018-08-12 12:44:49 AM] [client 47.15.41.179] Finished under Sheet- Books | Row Number : 1 | count of Excel Fields: 16 | Count of Insert: 16 | Status OK
